Jahr;Bundesland;Kennzahl;Wirtschaftszweig;Stoffgruppe;Verwendung(t);VerwendungCO2(1000t);Einfuhr(t);EinfuhrCO2(1000t);Ausfuhr(t);AusfuhrCO2(100t)
2023;Baden-Württemberg;WZ08-01;Landwirtschaft, Jagd und verbundene Tätigkeiten;FKW (Fluorkohlenwasserstoffe);N/A;N/A;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-01;Landwirtschaft, Jagd und verbundene Tätigkeiten;H-FKW (Teilhalogenierte Fluorkohlenwasserstoffe);N/A;N/A;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-01;Landwirtschaft, Jagd und verbundene Tätigkeiten;H-FCKW (Teilhalog. Fluorchlorkohlenwasserstoffe);N/A;N/A;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-01;Landwirtschaft, Jagd und verbundene Tätigkeiten;Blends;N/A;N/A;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-01;Landwirtschaft, Jagd und verbundene Tätigkeiten;F-IKW (Fluoridkohlenwasserstoffe);N/A;N/A;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-01;Landwirtschaft, Jagd und verbundene Tätigkeiten;H-BKW (Hydrogenierte Bromkohlenwasserstoffe);N/A;N/A;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-01;Landwirtschaft, Jagd und verbundene Tätigkeiten;H-CKW (Teilchlorierte Kohlenwasserstoffe);N/A;N/A;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-01;Landwirtschaft, Jagd und verbundene Tätigkeiten;FBKW (Fluorbromkohlenwasserstoffe (Halone));N/A;N/A;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-01;Landwirtschaft, Jagd und verbundene Tätigkeiten;H-BCKW (Teilhalog. Bromchlorkohlenwasserstoffe);N/A;N/A;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-01;Landwirtschaft, Jagd und verbundene Tätigkeiten;Insgesamt;N/A;N/A;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-10;Herstellung von Nahrungs- und Futtermitteln;FKW (Fluorkohlenwasserstoffe);N/A;N/A;N/A;N/A;N/A;N/A
