Jahr;Bundesland;Kennzahl;Wirtschaftszweig;Stoffgruppe;Verwendung;VerwendungCO2;Einfuhr;EinfuhrCO2;Ausfuhr;AusfuhrCO2
2023;Baden-Württemberg;WZ08-21;Herstellung von pharmazeutischen Erzeugnissen;H-FKW (Teilhalogenierte Fluorkohlenwasserstoffe);1,55;2,02;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-21;Herstellung von pharmazeutischen Erzeugnissen;Blends;0,87;0,58;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-21;Herstellung von pharmazeutischen Erzeugnissen;Insgesamt;2,42;2,60;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-22;Herstellung von Gummi- und Kunststoffwaren;Insgesamt;1,48;2,80;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-26;H.v. DV-Geräten, elektron. u. opt. Erzeugnissen;FKW (Fluorkohlenwasserstoffe);2,69;27,81;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-26;H.v. DV-Geräten, elektron. u. opt. Erzeugnissen;H-FKW (Teilhalogenierte Fluorkohlenwasserstoffe);1,29;9,87;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-26;H.v. DV-Geräten, elektron. u. opt. Erzeugnissen;Blends;7,79;16,39;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-26;H.v. DV-Geräten, elektron. u. opt. Erzeugnissen;Insgesamt;11,77;54,07;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-28;Maschinenbau;H-FKW (Teilhalogenierte Fluorkohlenwasserstoffe);114,79;143,39;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-28;Maschinenbau;Blends;129,02;172,81;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-28;Maschinenbau;Insgesamt;253,01;364,95;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-29;Herstellung von Kraftwagen und Kraftwagenteilen;Blends;2,26;4,62;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-33;Reparatur u.Installation von Masch.u.Ausrüstungen;H-FKW (Teilhalogenierte Fluorkohlenwasserstoffe);17,35;21,88;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-33;Reparatur u.Installation von Masch.u.Ausrüstungen;Blends;34,39;66,25;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-33;Reparatur u.Installation von Masch.u.Ausrüstungen;Insgesamt;51,75;88,13;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-43;Vorb.Baustellenarbeiten, Bauinstall., sonst.Ausbau;H-FKW (Teilhalogenierte Fluorkohlenwasserstoffe);27,13;32,85;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-43;Vorb.Baustellenarbeiten, Bauinstall., sonst.Ausbau;Blends;62,10;123,93;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-43;Vorb.Baustellenarbeiten, Bauinstall., sonst.Ausbau;Insgesamt;89,23;156,78;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-45;Kfz-Handel, Instandhaltung und Reparatur von Kfz;H-FKW (Teilhalogenierte Fluorkohlenwasserstoffe);38,15;33,16;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-45;Kfz-Handel, Instandhaltung und Reparatur von Kfz;Blends;2,68;5,49;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-45;Kfz-Handel, Instandhaltung und Reparatur von Kfz;Insgesamt;40,83;38,65;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-46;Großhandel (ohne Handel mit Kraftfahrzeugen);Blends;21,39;32,28;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-46;Großhandel (ohne Handel mit Kraftfahrzeugen);Insgesamt;24,01;36,10;N/A;N/A;20,74;11,73
2023;Baden-Württemberg;WZ08-49;Landverkehr und Transport in Rohrfernleitungen;Insgesamt;6,49;8,46;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-86;Gesundheitswesen;H-FKW (Teilhalogenierte Fluorkohlenwasserstoffe);1,26;1,62;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-86;Gesundheitswesen;Blends;2,92;5,66;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-86;Gesundheitswesen;Insgesamt;4,18;7,28;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-95;Reparatur von DV-Geräten und Gebrauchsgütern;Insgesamt;6,38;8,34;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;;Insgesamt;FKW (Fluorkohlenwasserstoffe);N/A;N/A;N/A;N/A;0,46;3,22
2023;Baden-Württemberg;;Insgesamt;H-FKW (Teilhalogenierte Fluorkohlenwasserstoffe);885,00;572,42;198,76;189,86;21,86;9,44
2023;Baden-Württemberg;;Insgesamt;Blends;275,32;447,44;N/A;N/A;0,05;0,07
2023;Baden-Württemberg;;Insgesamt;Insgesamt;1172,42;1097,83;400,15;585,05;22,70;12,73
2023;Bayern;WZ08-10;Herstellung von Nahrungs- und Futtermitteln;H-FKW (Teilhalogenierte Fluorkohlenwasserstoffe);0,19;0,25;N/A;N/A;N/A;N/A
2023;Bayern;WZ08-10;Herstellung von Nahrungs- und Futtermitteln;Blends;0,26;0,67;N/A;N/A;N/A;N/A
2023;Bayern;WZ08-10;Herstellung von Nahrungs- und Futtermitteln;Insgesamt;0,45;0,92;N/A;N/A;N/A;N/A
2023;Bayern;WZ08-21;Herstellung von pharmazeutischen Erzeugnissen;Insgesamt;1,58;9,55;N/A;N/A;N/A;N/A
2023;Bayern;WZ08-22;Herstellung von Gummi- und Kunststoffwaren;H-FKW (Teilhalogenierte Fluorkohlenwasserstoffe);0,77;0,83;N/A;N/A;N/A;N/A
2023;Bayern;WZ08-22;Herstellung von Gummi- und Kunststoffwaren;Blends;0,35;0,59;N/A;N/A;N/A;N/A
2023;Bayern;WZ08-22;Herstellung von Gummi- und Kunststoffwaren;Insgesamt;1,12;1,42;N/A;N/A;N/A;N/A
2023;Bayern;WZ08-26;H.v. DV-Geräten, elektron. u. opt. Erzeugnissen;H-FKW (Teilhalogenierte Fluorkohlenwasserstoffe);1,56;18,09;N/A;N/A;N/A;N/A
2023;Bayern;WZ08-26;H.v. DV-Geräten, elektron. u. opt. Erzeugnissen;Blends;0,52;0,51;N/A;N/A;N/A;N/A
2023;Bayern;WZ08-26;H.v. DV-Geräten, elektron. u. opt. Erzeugnissen;Insgesamt;20,94;199,14;N/A;N/A;N/A;N/A
2023;Bayern;WZ08-27;Herstellung von elektrischen Ausrüstungen;H-FKW (Teilhalogenierte Fluorkohlenwasserstoffe);0,18;0,19;N/A;N/A;N/A;N/A
2023;Bayern;WZ08-28;Maschinenbau;H-FKW (Teilhalogenierte Fluorkohlenwasserstoffe);160,71;145,46;N/A;N/A;N/A;N/A
2023;Bayern;WZ08-28;Maschinenbau;Blends;282,30;475,97;N/A;N/A;N/A;N/A
2023;Bayern;WZ08-28;Maschinenbau;Insgesamt;443,01;621,43;N/A;N/A;N/A;N/A
2023;Bayern;WZ08-29;Herstellung von Kraftwagen und Kraftwagenteilen;Blends;1,50;3,03;N/A;N/A;N/A;N/A
